,caseID,taskID,originator,eventtype,date,time
3923,584,InformClientSurvey,System,complete,1970-01-03,2:49
3924,40,FirstContact,Monica,complete,1970-01-06,5:07
3925,764,InformClientSurvey,System,complete,1970-01-03,1:15
3927,402,RepairReady,System,complete,1970-01-06,12:50
3928,600,TicketReady,System,complete,1970-01-06,8:10
3929,95,RepairReady,System,complete,1970-01-13,5:47
3930,138,InternRepair,Cindy,complete,1970-01-09,16:37
3933,545,FirstContact,Dian,complete,1970-01-06,22:24
3934,617,ReadyInformClient,System,complete,1970-01-20,6:10
3936,647,RepairReady,System,complete,1970-01-04,8:07
3937,973,RepairReady,System,complete,1970-01-11,20:30
3939,561,TicketReady,System,complete,1970-01-07,4:52
3940,903,TicketReady,System,complete,1970-01-19,10:19
3941,396,FirstContact,Monica,complete,1970-01-05,15:54
3944,378,RepairReady,System,complete,1970-01-12,5:55
3945,149,InternRepair,Edd,complete,1970-01-17,15:51
3946,65,Survey,Cindy,complete,1970-01-03,5:02
3949,951,InternRepair,Ben,complete,1970-01-05,7:15
3950,298,TicketReady,System,complete,1970-01-08,10:28
3951,220,ArrangeSurvey,Monica,complete,1970-01-02,20:37
3952,382,FirstContact,Dian,complete,1970-01-02,10:08
3953,711,InternRepair,John,complete,1970-01-11,15:45
3954,454,SendTicketToFinAdmin,System,complete,1970-01-03,6:00
3955,793,MakeTicket,Dian,complete,1970-01-06,16:46
3956,585,MakeTicket,Dian,complete,1970-01-05,3:33
3957,561,InformClientSurvey,System,complete,1970-01-04,13:48
3958,810,RepairReady,System,complete,1970-01-12,14:20
3959,400,SendTicketToFinAdmin,System,complete,1970-01-15,16:42
3960,524,TicketReady,System,complete,1970-01-15,20:38
3961,770,SendTicketToFinAdmin,System,complete,1970-01-03,17:39
3964,797,InformClientSurvey,System,complete,1970-01-07,11:02
3965,763,ArrangeSurvey,Dian,complete,1970-01-01,11:17
3966,562,InformClientSurvey,System,complete,1970-01-08,3:59
3967,124,SendTicketToFinAdmin,System,complete,1970-01-19,2:57
3968,97,FirstContact,Dian,complete,1970-01-02,6:58
3969,790,ReadyInformClient,System,complete,1970-01-04,4:12
3970,487,ArrangeSurvey,Dian,complete,1970-01-04,12:52
3972,892,Survey,Nick,complete,1970-01-03,2:52
3974,693,TicketReady,System,complete,1970-01-18,8:56
3975,347,InternRepair,Cindy,complete,1970-01-17,20:17
3977,581,FirstContact,Monica,complete,1970-01-01,14:14
3978,467,ReadyInformClient,System,complete,1970-01-07,10:13
3981,637,ImmediateRepair,Anne,complete,1970-01-02,21:50
3982,325,TicketReady,System,complete,1970-01-06,23:27
3984,225,FirstContact,Dian,complete,1970-01-07,7:27
3985,383,InformClientSurvey,System,complete,1970-01-05,5:01
3987,363,FirstContact,Dian,complete,1970-01-04,1:31
3990,901,RepairReady,System,complete,1970-01-06,21:10
3991,117,InformClientSurvey,System,complete,1970-01-03,23:27
3993,591,SendTicketToFinAdmin,System,complete,1970-01-12,16:05
3994,134,Survey,Paul,complete,1970-01-03,13:40
3995,554,SendTicketToFinAdmin,System,complete,1970-01-07,13:29
3997,393,ArrangeSurvey,Dian,complete,1970-01-04,9:32
3998,941,RepairReady,System,complete,1970-01-06,18:46
3999,492,FirstContact,Monica,complete,1970-01-06,2:08
4000,790,MakeTicket,Monica,complete,1970-01-03,11:21
4001,407,RepairReady,System,complete,1970-01-03,3:46
4005,786,InformClientSurvey,System,complete,1970-01-03,16:20
4006,190,RepairReady,System,complete,1970-01-11,4:27
4007,824,SendTicketToFinAdmin,System,complete,1970-01-16,23:07
4008,9,MakeTicket,Dian,complete,1970-01-03,19:13
4009,617,TicketReady,System,complete,1970-01-20,6:10
4011,48,Survey,Jacky,complete,1970-01-12,9:49
4012,437,InternRepair,Paul,complete,1970-01-12,2:40
4013,275,ArrangeSurvey,Monica,complete,1970-01-06,7:13
4014,212,InformClientSurvey,System,complete,1970-01-04,3:44
4015,671,MakeTicket,Dian,complete,1970-01-03,13:23
4016,542,ImmediateRepair,Jacky,complete,1970-01-05,12:10
4017,987,InformClientSurvey,System,complete,1970-01-02,19:00
4018,632,RepairReady,System,complete,1970-01-03,12:30
4019,202,InternRepair,Paul,complete,1970-01-17,15:41
4020,942,InformClientWrongPlace,Monica,complete,1970-01-07,13:14
4021,63,TicketReady,System,complete,1970-01-07,0:24
4024,580,TicketReady,System,complete,1970-01-19,9:41
4025,389,MakeTicket,Dian,complete,1970-01-04,4:31
4026,515,ArrangeSurvey,Dian,complete,1970-01-07,3:16
4027,255,MakeTicket,Dian,complete,1970-01-02,19:34
4029,983,ReadyInformClient,System,complete,1970-01-05,16:16
4031,568,ReadyInformClient,System,complete,1970-01-09,13:29
4032,858,SendTicketToFinAdmin,System,complete,1970-01-07,19:58
4034,224,Survey,Edd,complete,1970-01-06,11:23
4035,1,MakeTicket,Dian,complete,1970-01-02,8:11
4036,147,InternRepair,Paul,complete,1970-01-05,23:26
4037,359,ArrangeSurvey,Dian,complete,1970-01-05,19:58
4038,247,RepairReady,System,complete,1970-01-01,20:14
4042,434,RepairReady,System,complete,1970-01-16,2:07
4043,255,RepairReady,System,complete,1970-01-03,10:07
4046,189,TicketReady,System,complete,1970-01-13,21:39
4047,776,TicketReady,System,complete,1970-01-04,6:05
4048,805,InternRepair,Cindy,complete,1970-01-09,12:35
4049,336,MakeTicket,Dian,complete,1970-01-02,14:52
4050,643,ArrangeSurvey,Dian,complete,1970-01-03,16:41
4052,671,InternRepair,Cindy,complete,1970-01-04,21:21
4053,671,ReadyInformClient,System,complete,1970-01-04,23:14
4054,693,MakeTicket,Monica,complete,1970-01-02,15:25
4056,235,ArrangeSurvey,Dian,complete,1970-01-02,20:15
4057,351,TicketReady,System,complete,1970-01-05,22:56
4058,438,SendTicketToFinAdmin,System,complete,1970-01-05,19:29
4059,109,TicketReady,System,complete,1970-01-11,16:13
4060,858,Survey,Barbara,complete,1970-01-07,17:42
4061,831,TicketReady,System,complete,1970-01-10,23:49
4063,994,RepairReady,System,complete,1970-01-16,9:25
4064,483,ImmediateRepair,Anne,complete,1970-01-08,21:27
4065,643,InformClientSurvey,System,complete,1970-01-03,16:41
4066,501,SendTicketToFinAdmin,System,complete,1970-01-09,13:18
4067,205,FirstContact,Monica,complete,1970-01-04,12:22
4069,501,Survey,Jacky,complete,1970-01-09,2:32
4070,586,FirstContact,Dian,complete,1970-01-03,17:00
4071,74,ImmediateRepair,Jacky,complete,1970-01-05,0:51
4072,305,InformClientSurvey,System,complete,1970-01-04,9:28
4073,947,InformClientSurvey,System,complete,1970-01-05,5:31
4074,846,InternRepair,Paul,complete,1970-01-03,18:04
4075,363,TicketReady,System,complete,1970-01-07,23:07
4076,811,ReadyInformClient,System,complete,1970-01-12,11:41
4077,364,InformClientSurvey,System,complete,1970-01-05,0:56
4079,771,RepairReady,System,complete,1970-01-18,22:54
4080,411,Survey,Jacky,complete,1970-01-01,13:15
4081,418,RepairReady,System,complete,1970-01-07,14:49
4082,729,RepairReady,System,complete,1970-01-11,19:35
4083,144,FirstContact,Monica,complete,1970-01-06,18:24
4085,781,TicketReady,System,complete,1970-01-02,9:50
4086,611,RepairReady,System,complete,1970-01-07,20:01
4087,548,SendTicketToFinAdmin,System,complete,1970-01-06,0:38
4089,388,InformClientSurvey,System,complete,1970-01-03,2:24
4090,252,SendTicketToFinAdmin,System,complete,1970-01-06,6:22
4092,613,MakeTicket,Dian,complete,1970-01-02,18:52
4093,849,TicketReady,System,complete,1970-01-07,4:16
4095,210,RepairReady,System,complete,1970-01-10,16:51
4097,278,TicketReady,System,complete,1970-01-13,11:50
4099,641,ReadyInformClient,System,complete,1970-01-06,10:18
4101,723,FirstContact,Dian,complete,1970-01-03,10:53
4102,879,RepairReady,System,complete,1970-01-11,12:08
4103,35,InformClientSurvey,System,complete,1970-01-04,10:49
4104,493,ImmediateRepair,Jacky,complete,1970-01-11,10:17
4106,856,Survey,Paul,complete,1970-01-13,13:25
4107,512,TicketReady,System,complete,1970-01-11,11:50
4108,219,RepairReady,System,complete,1970-01-06,11:03
4109,417,ReadyInformClient,System,complete,1970-01-05,1:25
4110,631,InformClientWrongPlace,Dian,complete,1970-01-05,4:07
4111,328,TicketReady,System,complete,1970-01-06,2:40
4112,345,TicketReady,System,complete,1970-01-13,15:45
4115,169,FirstContact,Dian,complete,1970-01-04,15:05
4116,626,SendTicketToFinAdmin,System,complete,1970-01-03,21:55
4118,77,InformClientSurvey,System,complete,1970-01-06,7:13
4120,693,FirstContact,Monica,complete,1970-01-02,15:23
4123,136,TicketReady,System,complete,1970-01-02,11:23
4124,165,FirstContact,Monica,complete,1970-01-07,22:17
4125,386,SendTicketToFinAdmin,System,complete,1970-01-15,10:02
4126,721,TicketReady,System,complete,1970-01-05,19:32
4128,270,InformClientSurvey,System,complete,1970-01-07,20:01
4129,258,InformClientSurvey,System,complete,1970-01-02,9:05
4130,497,TicketReady,System,complete,1970-01-15,15:24
4131,188,ReadyInformClient,System,complete,1970-01-07,12:04
4132,470,TicketReady,System,complete,1970-01-13,2:40
4133,575,RepairReady,System,complete,1970-01-11,4:52
4135,482,FirstContact,Dian,complete,1970-01-04,18:10
4137,579,SendTicketToFinAdmin,System,complete,1970-01-14,5:25
4140,509,SendTicketToFinAdmin,System,complete,1970-01-10,7:47
4141,642,ArrangeSurvey,Monica,complete,1970-01-06,20:46
4144,638,RepairReady,System,complete,1970-01-06,18:38
4145,923,ReadyInformClient,System,complete,1970-01-04,8:45
4146,744,ReadyInformClient,System,complete,1970-01-17,11:41
4147,237,FirstContact,Dian,complete,1970-01-06,10:08
4148,217,MakeTicket,Monica,complete,1970-01-04,7:44
4150,23,FirstContact,Monica,complete,1970-01-03,10:48
4151,150,TicketReady,System,complete,1970-01-09,3:45
4152,385,ReadyInformClient,System,complete,1970-01-09,8:53
4153,537,MakeTicket,Dian,complete,1970-01-08,4:03
4155,770,FirstContact,Dian,complete,1970-01-02,10:31
4157,941,InternRepair,Eric,complete,1970-01-06,18:46
4159,560,SendTicketToFinAdmin,System,complete,1970-01-06,11:49
4160,863,ReadyInformClient,System,complete,1970-01-11,21:25
4161,965,ReadyInformClient,System,complete,1970-01-13,18:49
4163,742,ArrangeSurvey,Dian,complete,1970-01-05,12:23
4164,604,RepairReady,System,complete,1970-01-13,12:46
4165,220,MakeTicket,Monica,complete,1970-01-02,20:32
4166,310,RepairReady,System,complete,1970-01-07,15:01
4167,450,MakeTicket,Monica,complete,1970-01-03,9:19
4168,827,ReadyInformClient,System,complete,1970-01-04,19:04
4169,746,TicketReady,System,complete,1970-01-01,21:14
4170,413,Survey,Cindy,complete,1970-01-13,17:52
4171,409,ReadyInformClient,System,complete,1970-01-14,21:57
4172,92,TicketReady,System,complete,1970-01-01,20:52
4173,899,InformClientSurvey,System,complete,1970-01-02,1:33
4174,448,Survey,Edd,complete,1970-01-05,6:06
4175,129,InformClientSurvey,System,complete,1970-01-06,16:22
4176,963,RepairReady,System,complete,1970-01-07,19:17
4177,775,InformClientSurvey,System,complete,1970-01-04,22:58
4178,9,ImmediateRepair,Anne,complete,1970-01-03,23:37
4179,441,MakeTicket,Monica,complete,1970-01-08,2:20
4180,19,InformClientSurvey,System,complete,1970-01-07,4:30
4182,737,RepairReady,System,complete,1970-01-07,19:53
4184,269,Survey,Cindy,complete,1970-01-15,23:03
4185,953,MakeTicket,Monica,complete,1970-01-02,4:00
4186,28,SendTicketToFinAdmin,System,complete,1970-01-06,12:39
4187,429,InternRepair,Cindy,complete,1970-01-17,8:35
4188,448,ReadyInformClient,System,complete,1970-01-05,18:08
4189,831,RepairReady,System,complete,1970-01-10,17:46
4190,60,InternRepair,Paul,complete,1970-01-12,15:52
4191,600,Survey,Paul,complete,1970-01-04,16:52
4192,904,InformClientSurvey,System,complete,1970-01-07,14:36
4194,388,ReadyInformClient,System,complete,1970-01-03,7:38
4196,349,Survey,Paul,complete,1970-01-15,2:19
4198,635,ArrangeSurvey,Monica,complete,1970-01-07,7:39
4199,590,ArrangeSurvey,Dian,complete,1970-01-03,10:23
4200,608,ArrangeSurvey,Dian,complete,1970-01-02,1:46
4201,352,TicketReady,System,complete,1970-01-01,22:37
4202,833,FirstContact,Monica,complete,1970-01-02,20:49
4203,330,Survey,Anne,complete,1970-01-05,16:05
4204,345,ArrangeSurvey,Monica,complete,1970-01-05,1:42
4205,541,TicketReady,System,complete,1970-01-12,19:19
4207,573,Survey,Barbara,complete,1970-01-05,10:56
4208,507,ReadyInformClient,System,complete,1970-01-02,2:36
4209,157,FirstContact,Monica,complete,1970-01-03,22:27
4210,638,InformClientSurvey,System,complete,1970-01-04,5:51
4211,868,InternRepair,Edd,complete,1970-01-18,18:25
4212,683,MakeTicket,Dian,complete,1970-01-06,22:07
4216,986,SendTicketToFinAdmin,System,complete,1970-01-08,5:29
4217,12,MakeTicket,Monica,complete,1970-01-02,18:21
4219,412,Survey,Cindy,complete,1970-01-03,12:08
4222,790,InformClientSurvey,System,complete,1970-01-03,11:25
4223,984,InformClientSurvey,System,complete,1970-01-08,2:30
4224,633,RepairReady,System,complete,1970-01-12,1:23
4225,954,MakeTicket,Dian,complete,1970-01-02,6:51
4226,218,Survey,Anne,complete,1970-01-07,9:35
4227,249,MakeTicket,Dian,complete,1970-01-03,22:11
4228,608,MakeTicket,Dian,complete,1970-01-02,1:42
4231,480,InformClientWrongPlace,Monica,complete,1970-01-06,8:32
4232,141,MakeTicket,Dian,complete,1970-01-03,10:34
4234,919,RepairReady,System,complete,1970-01-14,17:17
4235,621,Survey,Anne,complete,1970-01-05,23:51
4239,619,InternRepair,Edd,complete,1970-01-10,2:56
4240,293,FirstContact,Dian,complete,1970-01-02,21:14
4241,9,SendTicketToFinAdmin,System,complete,1970-01-04,4:31
4243,355,InternRepair,John,complete,1970-01-03,14:25
4244,511,ArrangeSurvey,Monica,complete,1970-01-03,23:35
4245,619,FirstContact,Dian,complete,1970-01-03,22:44
4246,440,FirstContact,Monica,complete,1970-01-03,23:03
4247,674,Survey,Ben,complete,1970-01-05,12:37
4248,981,SendTicketToFinAdmin,System,complete,1970-01-02,16:15
4249,41,ReadyInformClient,System,complete,1970-01-02,7:55
4251,115,RepairReady,System,complete,1970-01-10,4:01
4252,912,FirstContact,Dian,complete,1970-01-06,20:17
4253,701,ImmediateRepair,Barbara,complete,1970-01-05,7:13
4254,111,InternRepair,Paul,complete,1970-01-20,5:19
4255,24,ArrangeSurvey,Monica,complete,1970-01-07,14:28
4257,914,MakeTicket,Monica,complete,1970-01-05,3:34
4258,685,ReadyInformClient,System,complete,1970-01-03,8:15
4259,660,ReadyInformClient,System,complete,1970-01-05,16:48
4260,517,ImmediateRepair,Anne,complete,1970-01-08,10:30
4261,317,MakeTicket,Monica,complete,1970-01-02,3:12
4262,263,InformClientSurvey,System,complete,1970-01-03,16:25
4265,935,InformClientSurvey,System,complete,1970-01-02,10:49
4266,839,InternRepair,Nick,complete,1970-01-02,16:02
4267,602,InformClientSurvey,System,complete,1970-01-08,6:44
4269,96,Survey,Lex,complete,1970-01-05,4:34
4273,226,ArrangeSurvey,Dian,complete,1970-01-06,3:04
4274,331,ReadyInformClient,System,complete,1970-01-08,12:09
4275,34,ImmediateRepair,Barbara,complete,1970-01-08,15:14
4276,26,MakeTicket,Monica,complete,1970-01-01,14:38
4277,957,InformClientSurvey,System,complete,1970-01-07,9:26
4279,961,ArrangeSurvey,Monica,complete,1970-01-08,0:44
4281,189,MakeTicket,Dian,complete,1970-01-03,19:31
4283,119,Survey,Paul,complete,1970-01-13,10:32
4284,836,ImmediateRepair,Anne,complete,1970-01-06,1:28
4286,451,ReadyInformClient,System,complete,1970-01-12,21:59
4287,440,MakeTicket,Monica,complete,1970-01-03,23:07
4288,130,ArrangeSurvey,Monica,complete,1970-01-06,16:08
4291,887,ImmediateRepair,Anne,complete,1970-01-10,18:04
4292,338,InformClientSurvey,System,complete,1970-01-04,6:37
4293,962,SendTicketToFinAdmin,System,complete,1970-01-07,19:10
4294,414,FirstContact,Dian,complete,1970-01-05,4:24
4295,712,Survey,Paul,complete,1970-01-06,15:50
4296,584,InternRepair,John,complete,1970-01-11,5:57
4297,649,RepairReady,System,complete,1970-01-02,15:26
4298,573,ReadyInformClient,System,complete,1970-01-05,14:32
4299,319,SendTicketToFinAdmin,System,complete,1970-01-17,3:04
4300,758,Survey,Cindy,complete,1970-01-14,22:49
4301,441,SendTicketToFinAdmin,System,complete,1970-01-15,3:08
4302,335,ReadyInformClient,System,complete,1970-01-10,15:04
4303,560,Survey,Anne,complete,1970-01-06,2:28
4305,889,InternRepair,Ben,complete,1970-01-07,4:01
4306,157,MakeTicket,Monica,complete,1970-01-03,22:31
4307,9,Survey,Anne,complete,1970-01-03,21:25
4309,516,ReadyInformClient,System,complete,1970-01-11,20:28
4311,329,SendTicketToFinAdmin,System,complete,1970-01-05,20:41
4315,490,ReadyInformClient,System,complete,1970-01-03,19:56
4316,202,RepairReady,System,complete,1970-01-17,15:41
4317,899,RepairReady,System,complete,1970-01-02,14:32
4319,957,FirstContact,Monica,complete,1970-01-07,8:19
4321,887,FirstContact,Monica,complete,1970-01-06,11:32
4322,52,SendTicketToFinAdmin,System,complete,1970-01-02,11:10
4323,799,FirstContact,Monica,complete,1970-01-03,5:17
4325,778,FirstContact,Monica,complete,1970-01-05,23:01
4326,672,TicketReady,System,complete,1970-01-03,10:36
4332,929,ReadyInformClient,System,complete,1970-01-18,5:42
4333,458,ArrangeSurvey,Dian,complete,1970-01-07,9:15
4334,966,InformClientWrongPlace,Dian,complete,1970-01-06,2:35
4335,482,ArrangeSurvey,Dian,complete,1970-01-04,18:18
4336,775,RepairReady,System,complete,1970-01-06,16:19
4338,996,InformClientSurvey,System,complete,1970-01-01,18:19
4339,867,Survey,Anne,complete,1970-01-10,18:42
4340,205,InformClientSurvey,System,complete,1970-01-04,12:30
4341,795,MakeTicket,Dian,complete,1970-01-01,12:04
4344,996,ArrangeSurvey,Monica,complete,1970-01-01,18:19
4346,670,RepairReady,System,complete,1970-01-12,0:31
4347,770,MakeTicket,Dian,complete,1970-01-02,10:33
4348,707,TicketReady,System,complete,1970-01-07,13:49
4349,225,TicketReady,System,complete,1970-01-17,4:51
4350,295,Survey,Jacky,complete,1970-01-06,5:34
4351,566,SendTicketToFinAdmin,System,complete,1970-01-08,23:42
4352,931,Survey,Edd,complete,1970-01-08,8:44
4353,582,ReadyInformClient,System,complete,1970-01-19,12:01
4354,936,ReadyInformClient,System,complete,1970-01-07,4:00
4357,975,ReadyInformClient,System,complete,1970-01-13,8:49
4358,398,MakeTicket,Dian,complete,1970-01-04,10:19
4360,45,TicketReady,System,complete,1970-01-05,14:27
4362,346,InformClientSurvey,System,complete,1970-01-06,7:23
4364,25,SendTicketToFinAdmin,System,complete,1970-01-03,5:37
4366,645,InformClientSurvey,System,complete,1970-01-05,0:40
4367,791,InformClientSurvey,System,complete,1970-01-03,8:08
4368,104,ReadyInformClient,System,complete,1970-01-05,7:31
4369,678,InternRepair,Anne,complete,1970-01-02,5:22
4371,511,FirstContact,Monica,complete,1970-01-03,23:27
4372,898,InformClientSurvey,System,complete,1970-01-07,7:15
4374,338,SendTicketToFinAdmin,System,complete,1970-01-11,2:18
4376,557,InformClientSurvey,System,complete,1970-01-06,11:58
4377,340,InformClientSurvey,System,complete,1970-01-07,23:21
4379,359,FirstContact,Dian,complete,1970-01-05,19:54
4381,707,InformClientSurvey,System,complete,1970-01-07,0:16
4383,92,ArrangeSurvey,Monica,complete,1970-01-01,13:39
4385,677,ReadyInformClient,System,complete,1970-01-13,7:06
4386,151,InformClientWrongPlace,Monica,complete,1970-01-03,12:50
4387,840,RepairReady,System,complete,1970-01-11,7:05
4388,887,ArrangeSurvey,Dian,complete,1970-01-06,17:44
4389,306,MakeTicket,Dian,complete,1970-01-02,15:08
4390,987,MakeTicket,Monica,complete,1970-01-02,18:58
4391,464,ArrangeSurvey,Monica,complete,1970-01-04,9:08
4392,597,FirstContact,Dian,complete,1970-01-07,0:49
4393,124,InformClientSurvey,System,complete,1970-01-04,6:57
4395,652,FirstContact,Dian,complete,1970-01-02,17:32
4396,891,ReadyInformClient,System,complete,1970-01-04,8:16
4397,246,Survey,Anne,complete,1970-01-06,5:13
4402,617,RepairReady,System,complete,1970-01-20,1:19
4404,418,TicketReady,System,complete,1970-01-07,17:59
4407,476,ArrangeSurvey,Dian,complete,1970-01-01,20:10
4408,586,InformClientSurvey,System,complete,1970-01-03,17:07
4410,336,TicketReady,System,complete,1970-01-03,11:06
4411,771,InformClientSurvey,System,complete,1970-01-03,1:24
4412,914,InternRepair,John,complete,1970-01-19,14:34
4413,623,ReadyInformClient,System,complete,1970-01-14,10:24
4414,63,FirstContact,Monica,complete,1970-01-01,20:23
4416,776,RepairReady,System,complete,1970-01-03,23:42
4419,190,InternRepair,Paul,complete,1970-01-11,4:27
4420,899,InternRepair,John,complete,1970-01-02,14:32
4422,423,SendTicketToFinAdmin,System,complete,1970-01-12,0:11
4424,641,MakeTicket,Monica,complete,1970-01-06,5:13
4425,18,MakeTicket,Monica,complete,1970-01-08,6:21
4426,890,RepairReady,System,complete,1970-01-20,5:05
4427,846,MakeTicket,Dian,complete,1970-01-02,11:49
4428,961,Survey,Barbara,complete,1970-01-09,2:03
4430,563,ImmediateRepair,Barbara,complete,1970-01-07,15:51
4432,386,RepairReady,System,complete,1970-01-15,5:42
4435,491,TicketReady,System,complete,1970-01-02,22:11
4436,584,FirstContact,Monica,complete,1970-01-03,2:45
4437,847,ArrangeSurvey,Monica,complete,1970-01-08,18:43
4438,840,InformClientSurvey,System,complete,1970-01-05,4:24
4440,49,RepairReady,System,complete,1970-01-12,9:47
4442,911,SendTicketToFinAdmin,System,complete,1970-01-05,21:12
4443,970,InformClientSurvey,System,complete,1970-01-02,20:37
4445,300,InternRepair,Edd,complete,1970-01-06,6:39
4446,143,Survey,Lex,complete,1970-01-07,6:10
4447,896,RepairReady,System,complete,1970-01-16,23:06
4448,65,FirstContact,Monica,complete,1970-01-02,5:31
4450,293,TicketReady,System,complete,1970-01-06,10:14
4451,254,Survey,Barbara,complete,1970-01-10,5:29
4452,880,RepairReady,System,complete,1970-01-10,2:37
4454,563,RepairReady,System,complete,1970-01-07,15:51
4459,617,FirstContact,Dian,complete,1970-01-03,10:40
4461,863,FirstContact,Dian,complete,1970-01-03,18:32
4462,89,ArrangeSurvey,Monica,complete,1970-01-03,11:15
4464,401,ReadyInformClient,System,complete,1970-01-12,17:52
4465,44,ReadyInformClient,System,complete,1970-01-06,9:40
4466,939,InternRepair,Cindy,complete,1970-01-18,3:37
4467,205,ArrangeSurvey,Monica,complete,1970-01-04,12:30
4469,590,Survey,Jacky,complete,1970-01-13,5:35
4471,677,TicketReady,System,complete,1970-01-13,9:57
4472,306,SendTicketToFinAdmin,System,complete,1970-01-10,3:25
4473,807,MakeTicket,Monica,complete,1970-01-04,19:16
4474,948,Survey,Edd,complete,1970-01-09,17:44
4476,408,FirstContact,Monica,complete,1970-01-07,7:33
4478,315,FirstContact,Dian,complete,1970-01-07,13:43
4479,98,ArrangeSurvey,Dian,complete,1970-01-08,5:40
4480,3,InformClientSurvey,System,complete,1970-01-03,1:14
4481,177,RepairReady,System,complete,1970-01-12,22:04
4482,305,ReadyInformClient,System,complete,1970-01-04,17:39
4483,185,FirstContact,Monica,complete,1970-01-05,21:41
4484,917,ArrangeSurvey,Dian,complete,1970-01-01,23:18
4485,301,InformClientSurvey,System,complete,1970-01-04,14:06
4486,371,InternRepair,Eric,complete,1970-01-02,18:11
4487,916,FirstContact,Dian,complete,1970-01-02,5:17
4488,119,FirstContact,Monica,complete,1970-01-06,7:17
4489,553,TicketReady,System,complete,1970-01-14,14:02
4490,944,RepairReady,System,complete,1970-01-17,2:32
4492,144,SendTicketToFinAdmin,System,complete,1970-01-14,20:12
4495,409,Survey,Paul,complete,1970-01-12,22:05
4496,734,InternRepair,Edd,complete,1970-01-15,2:02
4497,621,TicketReady,System,complete,1970-01-06,3:02
4499,147,ReadyInformClient,System,complete,1970-01-06,7:20
4500,644,ArrangeSurvey,Monica,complete,1970-01-05,4:46
4501,745,InternRepair,Cindy,complete,1970-01-18,11:41
4502,837,RepairReady,System,complete,1970-01-02,23:13
4503,466,ImmediateRepair,Anne,complete,1970-01-08,19:51
4504,403,ImmediateRepair,Jacky,complete,1970-01-13,4:38
4507,398,InternRepair,Paul,complete,1970-01-19,21:43
4508,640,SendTicketToFinAdmin,System,complete,1970-01-14,6:48
4509,992,FirstContact,Dian,complete,1970-01-03,3:33
4510,349,ArrangeSurvey,Dian,complete,1970-01-07,6:43
4511,59,MakeTicket,Monica,complete,1970-01-05,5:34
4513,209,SendTicketToFinAdmin,System,complete,1970-01-20,12:34
4515,720,SendTicketToFinAdmin,System,complete,1970-01-09,12:02
4517,741,InformClientSurvey,System,complete,1970-01-06,17:58
4518,648,Survey,Edd,complete,1970-01-09,18:32
4519,779,MakeTicket,Monica,complete,1970-01-02,20:02
4520,764,Survey,Paul,complete,1970-01-03,22:10
4521,945,MakeTicket,Monica,complete,1970-01-08,5:15
4522,95,ImmediateRepair,Anne,complete,1970-01-13,5:47
4523,624,MakeTicket,Monica,complete,1970-01-01,18:21
4525,550,InternRepair,Paul,complete,1970-01-17,2:24
4526,100,RepairReady,System,complete,1970-01-07,7:13
4527,622,ReadyInformClient,System,complete,1970-01-08,11:40
4528,673,InformClientSurvey,System,complete,1970-01-06,6:41
4530,781,FirstContact,Dian,complete,1970-01-01,15:28
4531,36,RepairReady,System,complete,1970-01-04,2:02
4532,534,RepairReady,System,complete,1970-01-04,17:23
4533,989,InformClientSurvey,System,complete,1970-01-01,21:29
4535,950,InternRepair,John,complete,1970-01-16,22:45
4536,736,FirstContact,Dian,complete,1970-01-04,7:11
4537,333,InformClientSurvey,System,complete,1970-01-08,2:47
4538,711,ArrangeSurvey,Monica,complete,1970-01-04,1:49
4540,919,ReadyInformClient,System,complete,1970-01-14,20:03
4541,556,RepairReady,System,complete,1970-01-01,13:36
4543,243,MakeTicket,Dian,complete,1970-01-06,5:06
4544,499,InformClientWrongPlace,Dian,complete,1970-01-07,0:16
4546,298,FirstContact,Monica,complete,1970-01-07,9:01
4547,720,Survey,Edd,complete,1970-01-07,11:25
4548,949,TicketReady,System,complete,1970-01-07,23:51
4549,4,ImmediateRepair,Anne,complete,1970-01-04,19:42
4550,225,SendTicketToFinAdmin,System,complete,1970-01-17,1:44
4552,854,MakeTicket,Dian,complete,1970-01-04,18:54
4553,391,ReadyInformClient,System,complete,1970-01-07,23:44
4554,399,RepairReady,System,complete,1970-01-12,15:13
4556,448,ArrangeSurvey,Monica,complete,1970-01-03,15:52
4557,91,InternRepair,John,complete,1970-01-05,3:54
4558,679,TicketReady,System,complete,1970-01-16,9:11
4560,591,FirstContact,Dian,complete,1970-01-07,17:59
4561,1,ArrangeSurvey,Dian,complete,1970-01-02,8:16
4562,318,MakeTicket,Dian,complete,1970-01-02,21:53
4563,41,InternRepair,Jacky,complete,1970-01-01,22:47
4567,364,SendTicketToFinAdmin,System,complete,1970-01-07,0:48
4568,6,InformClientWrongPlace,Monica,complete,1970-01-03,2:29
4569,830,TicketReady,System,complete,1970-01-12,4:15
4570,908,Survey,Cindy,complete,1970-01-02,12:30
4573,791,MakeTicket,Dian,complete,1970-01-03,8:05
4576,266,ImmediateRepair,Barbara,complete,1970-01-08,0:31
4577,838,InformClientSurvey,System,complete,1970-01-05,8:07
4578,9,ReadyInformClient,System,complete,1970-01-04,2:39
4580,8,ReadyInformClient,System,complete,1970-01-14,8:03
4581,518,TicketReady,System,complete,1970-01-10,2:32
4582,2,ReadyInformClient,System,complete,1970-01-12,11:17
4583,995,InternRepair,Cindy,complete,1970-01-13,23:15
